Duration (in seconds),ResponseId,Q186,Age,Gender,Ethnicity,Eth-ori,Edu,SJS-Intro,SJS-1,SJS-2,SJS-3,SRPS-Intro,SRPS-1,SRPS-2,SRPS-3,SRPS-4,SRPS-5,SRPS-6,SRPS-7,SRPS-8,SRPS-9,SRPS-10,SRPS-11,SRPS-12,SRPS-13,SRPS-14,SRPS-15,SRPS-Change,SRPS-17,SRPS-18,SRPS-19,SRPS-20,SRPS-21,SRPS-22,SRPS-23,SRPS-24,SSES-Intro,SSES-1,SSES-2,SSES-3,SSES-4,SSES-5,SSES-6,SSES-7,SSES-8,SSES-9,SSES-10,Spite-Intro,Spite-1,Spite-2,Spite-3,Spite-4,Spite-5,Spite-6,Spite-7,Spite-8,Spite-9,Spite-10,Spite-11,Spite-12,Spite-13,Spite-14,Spite-15,Spite-16,Q187,DoPL_1,DoPL_2,DoPL_3,DoPL_4,DoPL_5,DoPL_6,DoPL_7,DoPL_8,DoPL_9,DoPL_10,DoPL_11,DoPL_12,DoPL_13,DoPL_14,DoPL_15,DoPL_16,DoPL_17,DoPL_18,UMS_1,UMS_2,UMS_3,UMS_4,UMS_5,UMS_6,UMS_7,UMS_8,UMS_9,UMS_10,UMS_11,UMS_12,DoPL_26,Vign-Intro,Vign-1,Vign-2,Vign-3,Vign-4,Vign-5,Vign-6,Vign-7,Vign-8,Vign-9,Vign-10,Real-1,Real-2,Real-3,Real-4,Real-5,Real-6,Real-7,Real-8,Real-9,Real-10,Prolific,PROLIFIC_PID
510,R_2BmHP2bkKguMXnY,5ece7b97ba09f5253c4c0238,31,Female,White,English,University Undergraduate Program,3,Strongly disagree,Disagree,Disagree,2,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,3,Agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly disagree,"2,3",Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,"1,5",Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Important To Me,Of Some Importance To Me,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Important To Me,Very Important To me,Very Important To me,Strongly agree,1,Slightly justified,Somewhat unjustified,Not justified at all,Not justified at all,Neither justified or unjustified,Somewhat unjustified,Not justified at all,Slightly justified,Slightly justified,Neither justified or unjustified,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,2500892,5ece7b97ba09f5253c4c0238
665,R_2ExXq7ywWZwjkP3,5f57a7b8d9afd02833f1c50c,19,Male,White,European,A-Levels or Equivalent,3,Strongly disagree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Your Partner,Both of You Equally,Both of You Equally,3,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,"2,3",Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,"1,5",Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Important To Me,Important To Me,Disagree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Important To Me,Of Some Importance To Me,Very Important To me,Strongly agree,1,Very justified,Not justified at all,Not justified at all,Not justified at all,Not justified at all,Slightly justified,Not justified at all,Somewhat unjustified,Neither justified or unjustified,Neither justified or unjustified,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Neither agree nor disagree,1176392,5f57a7b8d9afd02833f1c50c
686,R_2qgzCSF32Y3ACxh,5c92cc7915223f0001b8ef5f,22,Female,Asian or Asian Scottish or Asian British,Asian,A-Levels or Equivalent,3,Somewhat disagree,Strongly disagree,Disagree,2,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,3,Neither agree nor disagree,Disagree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,"2,3",Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,"1,5",Somewhat disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Agree,Somewhat disagree,Agree,Disagree,Disagree,Of Some Importance To Me,Important To Me,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Strongly agree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Very Important To me,Important To Me,Important To Me,Strongly agree,1,Somewhat unjustified,Neither justified or unjustified,Not justified at all,Neither justified or unjustified,Not justified at all,Slightly justified,Somewhat unjustified,Neither justified or unjustified,Slightly justified,Somewhat unjustified,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,8404281,5c92cc7915223f0001b8ef5f
695,R_33fouqvRUV9QbDw,5e83425144753905a3a17ad8,45,Male,White,English,GCSes or Equivalent,3,Strongly disagree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Your Partner,Your Partner,3,Agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,"2,3",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,"1,5",Somewhat agree,Disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Disagree,Agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Important To Me,Important To Me,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Very Important To me,Extremely Important To Me,Very Important To me,Strongly agree,1,Slightly justified,Not justified at all,Not justified at all,Not justified at all,Not justified at all,Neither justified or unjustified,Not justified at all,Slightly justified,Very justified,Not justified at all,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,3369727,5e83425144753905a3a17ad8
703,R_3k7juNWYKmV0fVU,5dde680c40460edc4a5dc1a2,39,Female,White,European,University Post-Graduate Program,3,Strongly disagree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,You,Both of You Equally,Both of You Equally,Both of You Equally,3,Slightly disagree,Disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Agree,"2,3",Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Agree,"1,5",Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat agree,Strongly agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Very Important To me,Important To Me,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Important To Me,Of Some Importance To Me,Important To Me,Strongly agree,1,Very justified,Somewhat unjustified,Not justified at all,Not justified at all,Not justified at all,Very justified,Not justified at all,Not justified at all,Slightly justified,Not justified at all,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,6167807,5dde680c40460edc4a5dc1a2
694,R_2sbAZeCrJIJ3sZy,5ffb1cf80d03985276c14ec4,20,Male,White,European,A-Levels or Equivalent,3,Somewhat agree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,5,Both of You Equally,You,Both of You Equally,Both of You Equally,Both of You Equally,Your Partner,Both of You Equally,Both of You Equally,3,Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,Agree,Agree,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,"2,3",Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Neither agree nor disagree,"1,5",Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Somewhat agree,Disagree,Somewhat disagree,Agree,Very Important To me,Very Important To me,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Strongly agree,Somewhat disagree,Extremely Important To Me,Of Some Importance To Me,Of Some Importance To Me,Strongly agree,1,Very justified,Somewhat unjustified,Not justified at all,Not justified at all,Slightly justified,Very justified,Not justified at all,Slightly justified,Not justified at all,Not justified at all,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,6267764,5ffb1cf80d03985276c14ec4
709,R_25XTSBSJjnc415L,5eb94e5016037201ca8044ff,25,Male,White,European,A-Levels or Equivalent,3,Somewhat agree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,3,Agree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly disagree,Agree,Disagree,Slightly agree,Disagree,Disagree,"2,3",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Disagree,"1,5",Somewhat agree,Somewhat disagree,Agree,Disagree,Somewhat agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Of Some Importance To Me,Of Some Importance To Me,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Agree,Agree,Very Important To me,Important To Me,Important To Me,Strongly agree,1,Somewhat unjustified,Somewhat unjustified,Not justified at all,Not justified at all,Not justified at all,Slightly justified,Somewhat unjustified,Not justified at all,Slightly justified,Not justified at all,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,4310036,5eb94e5016037201ca8044ff
735,R_31R7qtZSukoNmMC,5e3f867091be661d53bd43df,20,Male,White,European,Primary School,3,Disagree,Disagree,Disagree,2,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Disagree,5,Both of You Equally,Both of You Equally,Your Partner,You,Your Partner,Both of You Equally,You,You,3,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,"2,3",Strongly disagree,Somewhat disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Agree,"1,5",Somewhat agree,Disagree,Somewhat disagree,Disagree,Agree,Somewhat disagree,Strongly agree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Strongly agree,Disagree,Agree,Disagree,Somewhat agree,Important To Me,Important To Me,Agree,Agree,Agree,Somewhat agree,Disagree,Strongly disagree,Agree,Agree,Agree,Very Important To me,Important To Me,Extremely Important To Me,Strongly agree,1,Very justified,Slightly justified,Not justified at all,Somewhat unjustified,Not justified at all,Very justified,Slightly justified,Not justified at all,Slightly justified,Somewhat unjustified,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,4367027,5e3f867091be661d53bd43df
754,R_1kUfVwVCE9ead5r,603472435125242c6d87b78e,22,Male,White,European,A-Levels or Equivalent,3,Agree,Disagree,Disagree,2,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Disagree,5,Both of You Equally,Your Partner,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,You,You,3,Agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,"2,3",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,"1,5",Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Important To Me,Extremely Important To Me,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Agree,Important To Me,Very Important To me,Very Important To me,Agree,1,Very justified,Somewhat unjustified,Not justified at all,Not justified at all,Somewhat unjustified,Slightly justified,Somewhat unjustified,Slightly justified,Not justified at all,Not justified at all,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,5187414,603472435125242c6d87b78e
756,R_1ewwKsD1j4ofb5S,5e1e26bc677d6f1913ec0111,54,Male,White,Scottish,GCSes or Equivalent,3,Somewhat agree,Somewhat disagree,Somewhat agree,2,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,5,Your Partner,Your Partner,Your Partner,Your Partner,Your Partner,Your Partner,Your Partner,Your Partner,3,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,"2,3",Disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,"1,5",Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Of Little Importance To me,Of Little Importance To me,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Somewhat disagree,Disagree,Strongly disagree,Of Little Importance To me,Important To Me,Of Some Importance To Me,Strongly agree,1,Slightly justified,Not justified at all,Not justified at all,Not justified at all,Not justified at all,Slightly justified,Not justified at all,Not justified at all,Neither justified or unjustified,Somewhat unjustified,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,8174916,5e1e26bc677d6f1913ec0111
