"","subjectID","Age","Duration..in.seconds.","Gender","Ethnicity","Eth.ori","Edu","DoPLSum","dominanceSum","prestigeSum","leadershipSum","UMSSum","UMSIntimacySum","UMSAffiliationSum","sjsSum","ssesSum","Spite","Vign.Sex","Vign.noSex","Vign.Ovr.Score","Real.Sex","Real.noSex","Real.Ovr.Score","srps.rc.rescale","srps.dm.rescale","srps.sum.rescale","Power","Vign.1","Vign.2","Vign.3","Vign.4","Vign.5","Vign.6","Vign.7","Vign.8","Vign.9","Vign.10","Real.1","Real.2","Real.3","Real.4","Real.5","Real.6","Real.7","Real.8","Real.9","Real.10"
"1",1,31,510,1,1,2,4,45,14,18,13,35,10,25,5,24,39,11,14,25,15,16,31,3.26666666666667,2.5,3.0655737704918,"High",4,2,1,1,3,2,1,4,4,3,2,3,4,3,3,4,4,2,3,3
"2",2,19,665,0,1,3,3,53,14,21,18,31,8,23,3,10,34,11,11,22,12,12,24,3.46666666666667,2.3125,3.16393442622951,"High",5,1,1,1,1,4,1,2,3,3,2,3,2,2,2,3,2,1,4,3
"3",3,22,686,1,3,5,3,37,9,19,9,26,8,18,6,42,35,12,13,25,13,12,25,2.73333333333333,2.5,2.67213114754098,"Medium",2,3,1,3,1,4,2,3,4,2,2,2,2,3,4,2,4,2,2,2
"4",4,45,695,0,1,2,2,42,5,21,16,43,11,32,3,15,30,8,14,22,13,12,25,3.66666666666667,2.125,3.26229508196721,"High",4,1,1,1,1,3,1,4,5,1,2,4,2,3,2,3,2,2,3,2
"5",5,39,703,1,1,3,5,57,12,25,20,28,7,21,3,45,29,10,12,22,19,15,34,3.46666666666667,2.6875,3.26229508196721,"High",5,2,1,1,1,5,1,1,4,1,2,3,3,4,3,2,5,2,5,5
"6",6,20,694,0,1,3,3,63,15,24,24,25,6,19,6,37,52,10,15,25,19,14,33,3.6,2.5,3.31147540983607,"High",5,2,1,1,4,5,1,4,1,1,4,5,2,2,2,4,4,1,5,4
"7",7,25,709,0,1,3,3,47,11,14,22,36,8,28,6,16,34,8,11,19,10,10,20,3.6,2.5,3.31147540983607,"High",2,2,1,1,1,4,2,1,4,1,2,2,2,2,2,2,2,2,2,2
"8",8,20,735,0,1,3,1,42,8,21,13,38,10,28,6,32,40,17,12,29,10,10,20,3.4,2.6875,3.21311475409836,"High",5,4,1,2,1,5,4,1,4,2,2,2,2,2,2,2,2,2,2,2
"9",9,22,754,0,1,3,3,59,23,21,15,41,10,31,9,22,26,11,12,23,14,15,29,3.26666666666667,2.6875,3.11475409836066,"High",5,2,1,1,2,4,2,4,1,1,2,4,4,2,3,4,4,2,2,2
"10",10,54,756,0,1,1,2,13,2,8,3,18,7,11,11,50,29,9,10,19,13,12,25,2.13333333333333,1,1.83606557377049,"Low",4,1,1,1,1,4,1,1,3,2,2,3,2,2,2,2,4,2,4,2
"11",11,45,788,0,2,1,4,41,12,17,12,37,8,29,3,27,35,14,12,26,12,13,25,3.2,2.6875,3.0655737704918,"High",5,3,1,2,1,4,2,4,2,2,2,2,3,2,3,2,2,2,3,4
"12",12,23,795,0,1,3,4,36,16,13,7,26,6,20,4,27,29,5,12,17,16,14,30,3.6,2.5,3.31147540983607,"High",1,1,1,1,1,5,1,2,3,1,1,3,5,5,3,2,5,1,3,2
"13",13,18,851,1,3,5,2,49,17,17,15,34,7,27,11,27,52,12,19,31,17,13,30,3,2.5,2.86885245901639,"High",2,3,4,2,3,4,3,4,4,2,4,2,2,4,3,2,3,3,3,4
"14",14,28,860,0,1,3,4,26,0,20,6,32,9,23,3,34,30,8,12,20,14,14,28,3.8,2.5,3.45901639344262,"High",4,1,1,1,2,4,1,1,4,1,3,2,2,2,2,3,4,2,5,3
"15",15,22,862,0,1,3,5,61,16,25,20,34,8,26,7,29,23,10,11,21,12,14,26,3.06666666666667,2.125,2.81967213114754,"Medium",3,1,1,1,1,4,4,3,2,1,2,3,2,2,3,2,3,3,4,2
"16",16,25,883,1,1,3,4,34,0,23,11,45,10,35,7,21,21,12,10,22,11,9,20,3.66666666666667,2.5,3.36065573770492,"High",5,4,1,1,1,5,1,1,2,1,1,2,2,2,1,2,3,1,3,3
